ชื่อสินค้า,หมวดหมู่,ราคา
ขนมปังกระเทียม,ของทานเล่น,89
ขนมปังกระเทียม (ใหญ่),ของทานเล่น,133
ขนมปังกระเทียม (พิเศษ),ของทานเล่น,139
เฟรนช์ฟรายส์,ของทานเล่น,79
เฟรนช์ฟรายส์ (ใหญ่),ของทานเล่น,118
เฟรนช์ฟรายส์ (พิเศษ),ของทานเล่น,129
หอมทอด,ของทานเล่น,99
หอมทอด (ใหญ่),ของทานเล่น,148
หอมทอด (พิเศษ),ของทานเล่น,149
สลัดซีซาร์,ของทานเล่น,159
สลัดซีซาร์ (ใหญ่),ของทานเล่น,238
สลัดซีซาร์ (พิเศษ),ของทานเล่น,209
ซุปเห็ด,ของทานเล่น,129
ซุปเห็ด (ใหญ่),ของทานเล่น,193
ซุปเห็ด (พิเศษ),ของทานเล่น,179
บรูสเก็ตต้า,ของทานเล่น,119
บรูสเก็ตต้า (ใหญ่),ของทานเล่น,178
บรูสเก็ตต้า (พิเศษ),ของทานเล่น,169
ปลาหมึกชุบแป้งทอด,ของทานเล่น,189
ปลาหมึกชุบแป้งทอด (ใหญ่),ของทานเล่น,283
ปลาหมึกชุบแป้งทอด (พิเศษ),ของทานเล่น,239
ปีกไก่ทอด,ของทานเล่น,149
ปีกไก่ทอด (ใหญ่),ของทานเล่น,223
ปีกไก่ทอด (พิเศษ),ของทานเล่น,199
ปอเปี๊ยะทอด,ของทานเล่น,89
ปอเปี๊ยะทอด (ใหญ่),ของทานเล่น,133
ปอเปี๊ยะทอด (พิเศษ),ของทานเล่น,139
ผักโขมอบชีส,ของทานเล่น,169
ผักโขมอบชีส (ใหญ่),ของทานเล่น,253
ผักโขมอบชีส (พิเศษ),ของทานเล่น,219
สเต็กเนื้อ,จานหลัก,450
สเต็กเนื้อ (ใหญ่),จานหลัก,675
สเต็กเนื้อ (พิเศษ),จานหลัก,500
พอร์คชอป,จานหลัก,290
พอร์คชอป (ใหญ่),จานหลัก,435
พอร์คชอป (พิเศษ),จานหลัก,340
สเต็กปลาแซลมอน,จานหลัก,390
สเต็กปลาแซลมอน (ใหญ่),จานหลัก,585
สเต็กปลาแซลมอน (พิเศษ),จานหลัก,440
ฟิชแอนด์ชิปส์,จานหลัก,250
ฟิชแอนด์ชิปส์ (ใหญ่),จานหลัก,375
ฟิชแอนด์ชิปส์ (พิเศษ),จานหลัก,300
ซี่โครงหมูบาร์บีคิว,จานหลัก,350
ซี่โครงหมูบาร์บีคิว (ใหญ่),จานหลัก,525
ซี่โครงหมูบาร์บีคิว (พิเศษ),จานหลัก,400
ไก่อบสมุนไพร,จานหลัก,220
