promotion_name,description,discount
Early Bird Special,10% discount for orders before 11:00 AM,10
Elite Member Friday,Buy 1 Get 1 free on all drinks every Friday,0
First Order Bliss,Get 100 THB off on your first order over 500 THB,100
Family Feast Pack,20% discount on orders over 2000 THB,20
Flash Sale: Desserts,50% off on all dessert items between 2:00 PM - 4:00 PM,50
Marketplace Launch,Free delivery for all Ecommerce Hub items this month,0
Health & Wellness Week,15% off on all Health.Care supplements,15
Smart Home Setup,Free installation when purchasing 3+ smart devices,0
Sushi Saturday,Complimentary Miso soup with every Sushi Platter,0
Student Discount,Save 15% on non-alcoholic drinks with a valid ID,15
