รหัสโปรโมชั่น,ชื่อโปรโมชั่น,รายละเอียด,ประเภทส่วนลด,มูลค่า
PROMO001,ชุดมื้อเที่ยงสุดคุ้ม,ลดราคาอาหารกลางวัน 15%,เปอร์เซ็นต์,15
PROMO002,มื้อค่ำสุขสันต์,ลดทันที 100 บาทสำหรับมื้อค่ำ,ลดบาท,100
PROMO003,ชุดครอบครัว,ลด 20% สำหรับชุดครอบครัว,เปอร์เซ็นต์,20
PROMO004,สุขสันต์วันเกิด,ลด 25% ในเดือนเกิด,เปอร์เซ็นต์,25
PROMO005,ราคานักเรียน,ลด 10% เมื่อแสดงบัตรนักเรียน,เปอร์เซ็นต์,10
PROMO006,มาไวลดเพิ่ม,ลด 50 บาทเมื่อมาทานก่อน 17:00 น.,ลดบาท,50
PROMO007,สมาชิกคนพิเศษ,ลด 15% สำหรับสมาชิก,เปอร์เซ็นต์,15
PROMO008,หน้าฝนชุ่มฉ่ำ,ลด 80 บาทเมื่อฝนตก,ลดบาท,80
PROMO009,1 แถม 1,ซื้อเครื่องดื่ม 1 แก้ว แถม 1 แก้ว,แถมฟรี,0
PROMO010,ต้อนรับปีใหม่,ลด 30% ตลอดเดือนมกราคม,เปอร์เซ็นต์,30
